my_hand,'2','3','4','5','6','7','8','9','T','A'
8,H,H,H,H,H,H,H,H,H,H
9,H,DH,DH,DH,DH,H,H,H,H,H
10,DH,DH,DH,DH,DH,DH,DH,H,H
11,DH,DH,DH,DH,DH,DH,DH,DH,DH,DH
12,H,H,S,S,S,H,H,H,H,H
13,S,S,S,S,S,H,H,H,H,H
14,S,S,S,S,S,H,H,H,H,H
15,S,S,S,S,S,H,H,H,RH,H
16,S,S,S,S,S,H,H,RH,RH,RH
17,S,S,S,S,S,S,S,S,S,S
a2,H,H,H,DH,DH,H,H,H,H,H
a3,H,H,H,DH,DH,H,H,H,H,H
a4,H,H,DH,DH,DH,H,H,H,H,H
a5,H,H,DH,DH,DH,H,H,H,H,H
a6,H,DH,DH,DH,DH,H,H,H,H,H
a7,S,DS,DS,DS,DS,S,S,H,H,H
a8,S,S,S,S,S,S,S,S,S,S
d2,PH,PH,Sp,Sp,Sp,Sp,H,H,H,H
d3,PH,PH,Sp,Sp,Sp,Sp,H,H,H,H
d4,H,H,H,PH,PH,H,H,H,H,H
d5,DH,DH,DH,DH,DH,DH,DH,DH,H,H
d6,PH,Sp,Sp,Sp,Sp,H,H,H,H,H
d7,Sp,Sp,Sp,Sp,Sp,Sp,H,H,H,H
d8,Sp,Sp,Sp,Sp,Sp,Sp,Sp,Sp,Sp,Sp
d9,Sp,Sp,Sp,Sp,Sp,S,Sp,Sp,S,S
dT,S,S,S,S,S,S,S,S,S,S
aa,Sp,Sp,Sp,Sp,Sp,Sp,Sp,Sp,Sp,Sp
